Agent pid 19109
board,phase,raw,lock_mask_hex,lock_count,fault_mask_hex,cal_done,fcsm_state,cr_pkt_seen
master,0,0x018900ff,0xff,8,0x00,1,4,0
master,1,0x01890000,0x00,0,0x00,1,4,0
master,2,0x01890000,0x00,0,0x00,1,4,0
master,3,0x01890000,0x00,0,0x00,1,4,0
master,4,0x01890000,0x00,0,0x00,1,4,0
master,5,0x01890000,0x00,0,0x00,1,4,0
master,6,0x01890000,0x00,0,0x00,1,4,0
master,7,0x01890000,0x00,0,0x00,1,4,0
master,8,0x018900ff,0xff,8,0x00,1,4,0
master,9,0x01890000,0x00,0,0x00,1,4,0
master,10,0x01890000,0x00,0,0x00,1,4,0
master,11,0x01890000,0x00,0,0x00,1,4,0
master,12,0x01890000,0x00,0,0x00,1,4,0
master,13,0x01890000,0x00,0,0x00,1,4,0
master,14,0x01890000,0x00,0,0x00,1,4,0
master,15,0x01890000,0x00,0,0x00,1,4,0
