Agent pid 19143
board,phase,raw,lock_mask_hex,lock_count,fault_mask_hex,cal_done,fcsm_state,cr_pkt_seen
slave,0,0x018900ff,0xff,8,0x00,1,4,0
slave,1,0x01890000,0x00,0,0x00,1,4,0
slave,2,0x01890000,0x00,0,0x00,1,4,0
slave,3,0x01890000,0x00,0,0x00,1,4,0
slave,4,0x01890000,0x00,0,0x00,1,4,0
slave,5,0x01890000,0x00,0,0x00,1,4,0
slave,6,0x01890000,0x00,0,0x00,1,4,0
slave,7,0x01890000,0x00,0,0x00,1,4,0
slave,8,0x018900ff,0xff,8,0x00,1,4,0
slave,9,0x01890000,0x00,0,0x00,1,4,0
slave,10,0x01890000,0x00,0,0x00,1,4,0
slave,11,0x01890000,0x00,0,0x00,1,4,0
slave,12,0x01890000,0x00,0,0x00,1,4,0
slave,13,0x01890000,0x00,0,0x00,1,4,0
slave,14,0x01890000,0x00,0,0x00,1,4,0
slave,15,0x01890000,0x00,0,0x00,1,4,0
