Sample in Buffer,Sample in Window,TRIGGER,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_s_b_done,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_s_aw_accept,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_i5_osr_expired,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_haddr[7:0],tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_s_awvalid,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_i5_progress,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_arb_valid,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_hreadyout,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_ahb_hresp,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_i5_outstanding,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_i5_ext_stalled,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_htrans[1:0],tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_ahb_hreadyout,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_lock,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_xhb_hrdyout_raw,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_i5_osr_ctr[16:0],tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_hwrite,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_hsel,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_lock_hit,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_hready,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_s_bvalid,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_a2l_valid,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_i5_stall_ctr[16:0],tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_valid_ap,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_s_awready,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_i5_err1,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_i5_wr_os[2:0],tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_i5_err2
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff01,1,0,0,0,0,0,0ff01,0,1,0,1,0
1,1,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff02,1,0,0,0,0,0,0ff02,0,1,0,1,0
2,2,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff03,1,0,0,0,0,0,0ff03,0,1,0,1,0
3,3,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff04,1,0,0,0,0,0,0ff04,0,1,0,1,0
4,4,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff05,1,0,0,0,0,0,0ff05,0,1,0,1,0
5,5,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff06,1,0,0,0,0,0,0ff06,0,1,0,1,0
6,6,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff07,1,0,0,0,0,0,0ff07,0,1,0,1,0
7,7,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff08,1,0,0,0,0,0,0ff08,0,1,0,1,0
8,8,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff09,1,0,0,0,0,0,0ff09,0,1,0,1,0
9,9,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff0a,1,0,0,0,0,0,0ff0a,0,1,0,1,0
10,10,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff0b,1,0,0,0,0,0,0ff0b,0,1,0,1,0
11,11,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff0c,1,0,0,0,0,0,0ff0c,0,1,0,1,0
12,12,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff0d,1,0,0,0,0,0,0ff0d,0,1,0,1,0
13,13,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff0e,1,0,0,0,0,0,0ff0e,0,1,0,1,0
14,14,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff0f,1,0,0,0,0,0,0ff0f,0,1,0,1,0
15,15,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff10,1,0,0,0,0,0,0ff10,0,1,0,1,0
16,16,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff11,1,0,0,0,0,0,0ff11,0,1,0,1,0
17,17,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff12,1,0,0,0,0,0,0ff12,0,1,0,1,0
18,18,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff13,1,0,0,0,0,0,0ff13,0,1,0,1,0
19,19,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff14,1,0,0,0,0,0,0ff14,0,1,0,1,0
20,20,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff15,1,0,0,0,0,0,0ff15,0,1,0,1,0
21,21,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff16,1,0,0,0,0,0,0ff16,0,1,0,1,0
22,22,0,0,0,0,00,0,0,0,1,0,1,1,0,0,0,0,0ff17,1,0,0,0,0,0,0ff17,0,1,0,1,0
