Sample in Buffer,Sample in Window,TRIGGER,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/sub_osr_expired,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_haddr[7:0],tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/sub_osr_ctr_r[16:0],tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_wr_hold_set,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_arb_valid,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_chiplet_controller/dbg_a2l_app_v,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/sub_axi_progress,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_hreadyout,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/sub_r_done,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_rd_pipe_r,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/sub_b_done,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_chiplet_controller/dbg_a2l_wedged,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/sub_rd_os_r,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/sub_stall_ctr_r[16:0],tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_htrans[1:0],tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_chiplet_controller/dbg_a2l_sack[4:0],tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_lock,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_chiplet_controller/dbg_fe_rx_cred[7:0],tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_chiplet_controller/dbg_fcsm_state[2:0],tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_chiplet_controller/dbg_a2l_lnk_empty,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_chiplet_controller/dbg_a2l_full,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/sub_err1_r,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/sub_err2_r,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_hwrite,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_chiplet_controller/dbg_a2l_wptr[4:0],tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_chiplet_controller/dbg_a2l_rreset,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_hsel,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_lock_hit,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_hready,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_chiplet_controller/dbg_a2l_app_rdy,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/sub_wr_stuck_fire,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/sub_aw_accept,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_a2l_valid,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_chiplet_controller/dbg_cr_seen,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_pipe_valid_r,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/sub_axi_outstanding,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/u_fc_adapter/dbg_tx_valid_ap,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/synth_b_pending,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/sub_wr_os_ctr[2:0],tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_ext_is_nonseq,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_wr_hold_clr,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_ahb_sub_hreadyout,tidelink_design_i/nanosoc_eth_chiplet_0/inst/u_chiplet/u_tidelink/dbg_wr_hold_r
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fad2,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fad3,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2,2,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fad4,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
3,3,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fad5,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
4,4,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fad6,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
5,5,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fad7,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
6,6,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fad8,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
7,7,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fad9,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
8,8,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fada,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
9,9,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fadb,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
10,10,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fadc,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
11,11,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fadd,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
12,12,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fade,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
13,13,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fadf,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
14,14,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fae0,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
15,15,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fae1,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
16,16,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fae2,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
17,17,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fae3,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
18,18,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fae4,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
19,19,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fae5,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
20,20,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fae6,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
21,21,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fae7,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
22,22,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fae8,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
23,23,0,0,0c,00000,0,0,0,0,1,0,0,0,0,0,0fae9,0,01,0,1f,4,1,0,0,0,1,02,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
